# Generated by tools/build_region_coordinates.py from pycountry 26.2.16 and Natural Earth 5.2.0-pre (public domain). Do not edit by hand.
alpha_2,alpha_3,latitude,longitude
PN,PCN,-24.3646,-128.3175
PR,PRI,18.2347,-66.4811
PS,PSE,32.0474,35.2913
PT,PRT,39.6067,-8.2718
PW,PLW,7.5183,134.5802
PY,PRY,-21.6745,-60.1464
QA,QAT,25.2374,51.1435
RE,REU,,
RO,ROU,45.7332,24.9726
RS,SRB,44.1899,20.7880
RU,RUS,58.2494,44.6865
RW,RWA,-1.8972,30.1039
SA,SAU,23.8069,44.6996
SB,SLB,-8.0295,159.1705
SC,SYC,-4.6767,55.4802
SD,SDN,16.3307,29.2607
SE,SWE,65.8592,19.0171
SG,SGP,1.3666,103.8169
SH,SHN,-15.9505,-5.7126
SI,SVN,46.0608,14.9153
SJ,SJM,,
SK,SVK,48.7340,19.0499
SL,SLE,8.6174,-11.7637
SM,SMR,43.9339,12.4412
SN,SEN,15.1381,-14.7786
SO,SOM,3.5689,45.1924
SR,SUR,4.1440,-55.9109
SS,SSD,7.2305,30.3902
ST,STP,0.9709,7.0210
SV,SLV,13.6854,-88.8901
SX,SXM,18.0409,-63.0701
SY,SYR,35.0066,38.2778
SZ,SWZ,-26.5337,31.4673
TC,TCA,21.8166,-71.7527
TD,TCD,15.1430,18.6450
TF,ATF,-49.3037,69.1221
TG,TGO,8.8072,1.0581
TH,THA,15.4597,101.0732
TJ,TJK,38.1998,72.5873
TK,TKL,,
TL,TLS,-8.8037,125.8547
TM,TKM,39.8552,58.6766
TN,TUN,33.6873,9.0079
TO,TON,-21.2100,-175.1630
TR,TUR,39.3454,34.5083
TT,TTO,10.9989,-60.9184
TV,TUV,-8.5137,179.2096
TW,TWN,23.6524,120.8682
TZ,TZA,-6.0519,34.9592
UA,UKR,49.7247,32.1409
UG,UGA,1.9726,32.9486
UM,UMI,19.2857,166.6445
US,USA,39.5385,-97.4826
UY,URY,-32.9611,-55.9669
UZ,UZB,41.6936,64.0054
VA,VAT,41.9033,12.4534
VC,VCT,13.0879,-61.3359
VE,VEN,7.1825,-64.5994
VG,VGB,18.4266,-64.6366
VI,VIR,17.7467,-64.7792
VN,VNM,21.7154,105.3873
VU,VUT,-15.3715,166.9088
WF,WLF,-14.2864,-178.1374
WS,WSM,-13.6391,-172.4382
YE,YEM,15.3282,45.8744
YT,MYT,,
ZA,ZAF,-29.7088,23.6657
ZM,ZMB,-14.6608,26.3953
ZW,ZWE,-18.9116,29.9254
